Date,1549,2062,2061,1548,2023,1072,2022,2060,1303,1546,1547,1186,1274,1267,1019,1059,1304,2449,1284,1543,1194,1251,1254,2453,2386,2427,1553,1026,1166,1103,2361,2307,2499,1255,1159,1302,2540,2452,2335,1550,2348,2538,2518,1273,2521,2500,3102,1058,1258,1201,3101,1035,2392,2389,2391,2344,2369,2251,2426,1235,1252,1240,1037,1047,1027,1552,2385,1801,2456,1042,1234,1151,1198,1551,1802,1196,1101,2537,2346,1524,1104,1106,1122,1261,2313,2255,2396,2539,1220,1190,2415,3107,3117,2360,2101,1100,2107,1129,2447,1043,2523,2405,2409,9050,1093,2103,2353,2319,2318,1264,1539,1195,2100,1108,1102,2498,1525,3104,2488,1193,1238,2408,2117,2367,1055,1153,1150,1134,3099,3097,3106,1169,1161,1105,2424,1200,2118,1074,2411,1133,1541,1052,2306,1015,2418,1020,1036,1268,2109,1094,1137,1022,1023,1504,1149,1172,1185,2102,2324,2368,2406,1107,1213,3114,1279,1045,1044,1171,1126,1604,2343,1538,2111,2412,2339,2430,1110,1283,1218,3115,1048,3120,3105,2441,2437,3116,1141,1271,2413,1510,1123,1286,1259,1248,2446,2110,2420,2429,2451,2106,2419,2416,1249,1121,1288,1554,1262,2105,9290,2545,1223,2357,1119,2373,2514,2501
2023-01-01,20,0,10,30,3,19,2,4,0,0,0,29,14,16,0,14,0,1,18,0,17,13,24,2,25,0,11,15,12,9,4,12,3,4,6,0,9,13,9,6,14,0,4,0,25,8,16,0,9,0,20,11,22,9,0,14,0,24,21,12,27,10,0,0,22,0,0,0,0,22,12,4,1,0,0,18,14,26,14,0,10,14,5,0,0,15,7,7,18,0,0,8,0,0,0,21,12,8,0,0,15,14,34,0,12,6,0,4,11,15,0,2,14,13,1,7,12,16,0,0,0,11,15,9,15,15,0,0,0,0,26,0,0,0,0,0,0,20,30,4,0,0,7,0,0,0,12,1,0,0,6,0,0,5,0,10,0,0,1,0,38,5,14,22,12,0,0,0,0,0,6,0,20,2,0,18,17,0,0,0,1,0,0,20,0,0,0,2,0,47,0,4,5,38,48,43,19,27,8,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,20,2,11,30,4,19,3,4,3,38,0,29,17,14,0,21,3,4,18,0,15,14,26,2,20,8,13,22,17,14,7,12,4,3,5,4,6,12,7,5,18,10,4,15,25,9,16,0,8,8,19,7,20,10,12,15,3,17,18,12,26,10,10,6,22,11,3,13,47,12,23,6,10,26,4,23,15,26,25,0,10,13,4,16,19,15,11,5,20,3,2,9,3,2,0,23,10,8,0,4,16,15,33,0,19,7,23,4,12,20,4,13,14,14,1,12,11,16,4,9,78,12,18,10,15,15,10,3,8,7,24,8,12,9,2,5,1,20,30,4,0,24,11,6,3,8,14,1,8,1,6,4,4,5,3,10,16,7,1,10,32,4,18,22,14,15,10,2,5,0,4,12,19,4,1,15,23,6,5,8,1,5,10,18,0,6,2,3,0,26,5,6,1,33,36,31,13,12,11,0,3,3,18,6,6,9,4,0,0,0,0,0,0,0,0,0
2023-01-03,19,6,10,30,5,19,3,4,4,37,25,29,13,14,4,22,4,3,18,0,17,16,21,2,22,8,15,19,20,16,7,11,5,2,6,5,4,7,9,6,20,16,4,16,24,14,16,0,9,25,21,12,19,8,19,15,7,16,21,12,16,10,11,5,23,12,11,10,28,11,20,6,11,30,7,22,13,24,26,5,12,15,4,15,23,19,14,8,19,3,5,10,4,6,1,23,11,9,5,14,15,17,36,4,16,6,22,4,16,23,13,12,17,16,4,12,12,18,0,9,62,13,14,11,15,15,7,6,6,11,27,8,14,9,4,11,5,22,21,4,9,22,9,5,0,7,9,8,3,3,6,6,5,8,1,10,9,6,1,7,34,3,12,18,13,13,12,2,5,0,6,11,18,5,3,19,12,10,6,8,1,7,10,17,0,8,3,5,0,20,8,5,6,35,34,22,15,22,4,1,3,2,20,1,3,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,20,1,7,29,7,19,4,4,4,42,19,28,15,14,4,17,3,6,19,0,13,15,25,1,22,8,16,22,24,18,8,12,4,4,7,5,4,5,12,5,18,15,4,12,25,16,16,0,8,16,21,11,20,9,21,15,9,17,24,12,19,10,8,4,22,15,9,14,25,13,21,4,12,28,7,25,14,25,27,7,8,16,6,17,22,18,17,6,19,3,6,10,6,2,1,19,15,9,3,18,17,14,33,4,11,6,27,4,19,22,3,14,19,17,6,12,12,20,6,11,80,14,15,11,15,15,13,5,5,11,25,7,15,7,6,15,6,27,25,5,9,21,10,6,1,6,10,9,9,3,6,3,8,8,3,11,11,9,2,5,39,2,12,19,15,15,16,3,2,1,5,11,13,6,1,19,13,8,7,8,1,3,10,16,0,5,2,7,0,42,3,17,11,37,52,34,12,19,5,2,3,2,19,4,8,1,3,0,0,0,0,0,0,0,0,0
2023-01-05,20,1,6,30,7,19,3,8,1,38,19,27,20,13,3,19,4,2,18,0,16,15,23,2,21,12,16,21,22,18,8,12,4,4,6,4,8,7,13,6,19,19,4,12,23,13,15,0,7,24,21,14,17,11,21,15,8,18,23,12,13,9,8,4,21,17,10,13,42,13,21,6,12,29,7,24,15,18,26,7,7,15,6,17,22,19,15,9,20,3,8,10,5,1,2,16,16,8,3,16,15,10,29,4,10,5,30,4,17,22,4,15,17,17,3,13,11,19,5,10,58,12,16,13,15,15,11,10,8,9,25,12,15,5,8,13,5,24,25,4,8,25,12,5,1,6,4,9,1,4,6,3,5,7,3,11,10,6,3,5,36,3,13,22,16,15,13,3,3,3,4,5,20,7,1,15,16,8,5,7,0,5,10,15,1,7,3,8,1,37,2,13,3,21,48,39,18,19,7,2,2,3,22,2,6,2,1,0,0,0,0,0,0,0,0,0
2023-01-06,20,1,5,30,7,19,4,6,0,36,25,26,21,14,0,15,2,2,19,0,14,14,24,4,21,2,14,22,18,16,7,13,4,3,5,0,6,10,12,5,18,18,4,10,23,11,15,0,7,20,20,7,17,9,19,15,9,16,21,13,19,10,0,0,21,13,4,12,36,9,21,3,13,34,4,25,13,18,21,0,8,15,6,18,22,17,15,6,20,0,8,10,4,1,2,14,12,10,0,29,14,10,33,0,12,5,27,5,13,22,3,14,14,14,2,9,13,18,0,2,83,9,13,13,15,17,4,5,5,11,24,8,19,8,8,13,6,24,28,4,0,22,5,5,2,8,12,8,1,0,4,6,4,3,0,11,4,6,4,5,34,3,15,21,15,13,15,1,5,0,2,0,15,5,1,24,14,8,5,0,1,7,10,21,0,6,0,6,3,48,5,4,2,27,55,31,12,15,7,1,2,2,20,5,7,0,3,0,0,0,0,0,0,0,0,0
2023-01-07,20,0,4,30,9,19,2,5,0,0,0,26,15,15,0,11,0,2,17,0,17,16,24,2,21,0,12,21,17,14,8,11,3,3,5,0,4,6,9,5,16,19,3,10,22,8,16,0,8,0,21,7,19,7,19,15,10,15,20,13,22,11,0,0,21,0,0,0,0,10,20,3,12,0,0,26,13,18,16,0,9,15,6,0,20,15,15,8,20,0,0,9,0,0,0,11,10,9,0,0,15,16,36,0,12,6,0,5,5,21,0,14,14,9,1,7,12,19,0,0,60,10,9,13,15,15,0,0,0,0,24,0,0,1,0,0,0,24,29,5,0,0,4,0,0,0,9,8,0,0,5,0,0,2,0,11,0,0,4,5,30,4,13,21,13,0,0,0,0,0,2,0,14,5,0,12,12,0,0,0,1,0,0,21,0,0,0,5,3,31,1,2,2,33,35,28,10,15,6,0,3,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,20,0,6,30,7,20,3,2,0,0,0,27,18,16,0,20,0,1,17,0,16,15,23,2,22,1,14,20,19,14,11,12,4,4,6,0,5,8,10,6,18,23,4,16,19,11,16,0,6,0,22,13,18,9,22,14,10,17,21,12,36,11,0,0,22,0,0,0,0,12,21,3,13,0,0,26,14,21,18,0,9,15,6,0,19,19,15,7,21,0,0,10,0,0,0,12,11,9,0,0,16,15,34,0,14,5,0,5,11,22,0,14,12,10,1,10,12,18,0,0,0,11,12,14,15,15,0,0,0,0,27,0,0,1,0,0,0,26,25,4,0,0,8,0,0,0,7,5,0,0,5,0,0,2,0,10,0,0,4,8,28,3,19,22,14,0,0,0,0,0,5,0,9,5,0,9,11,0,0,0,1,0,0,21,0,0,0,3,2,22,1,0,7,36,25,28,12,18,7,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,20,5,9,29,8,19,3,2,4,36,17,28,16,18,5,23,4,1,16,0,15,14,24,3,15,14,13,22,21,12,10,12,4,3,6,3,7,11,13,6,19,21,4,14,24,14,15,0,7,22,21,18,14,9,19,15,12,17,22,12,22,11,10,7,19,14,0,12,52,14,21,4,16,27,13,27,14,21,23,6,10,18,7,17,21,19,18,8,20,3,5,8,4,9,1,12,10,8,0,11,16,15,29,5,17,6,27,5,16,24,5,12,13,10,2,12,11,19,4,11,83,14,14,14,15,15,8,6,8,12,25,4,11,3,8,16,5,25,18,4,10,17,12,7,1,6,5,9,5,3,5,3,3,5,5,11,14,13,4,5,30,2,17,21,12,17,13,4,5,0,4,11,10,10,0,10,15,6,7,8,0,6,9,19,0,6,2,5,1,28,8,7,1,27,47,38,15,20,5,2,7,7,24,5,4,14,3,0,0,0,0,0,0,0,0,0
