,Date,Code UF,max,min,médiane
0,2024-01-01,1549,20,20,20.0
1,2024-01-02,1549,19,19,19.0
2,2024-01-03,1549,19,19,19.0
3,2024-01-04,1549,19,19,19.0
4,2024-01-05,1549,20,20,20.0
5,2024-01-06,1549,20,20,20.0
6,2024-01-07,1549,20,20,20.0
7,2024-01-08,1549,19,19,19.0
8,2024-01-09,1549,19,19,19.0
9,2024-01-10,1549,19,19,19.0
10,2024-01-11,1549,17,17,17.0
11,2024-01-12,1549,18,18,18.0
12,2024-01-13,1549,19,19,19.0
13,2024-01-14,1549,20,20,20.0
14,2024-01-15,1549,20,20,20.0
15,2024-01-16,1549,19,19,19.0
16,2024-01-17,1549,20,20,20.0
17,2024-01-18,1549,20,20,20.0
18,2024-01-19,1549,20,20,20.0
19,2024-01-20,1549,18,18,18.0
20,2024-01-21,1549,20,20,20.0
21,2024-01-22,1549,20,20,20.0
22,2024-01-23,1549,20,20,20.0
23,2024-01-24,1549,20,20,20.0
24,2024-01-25,1549,20,20,20.0
25,2024-01-26,1549,20,20,20.0
26,2024-01-27,1549,20,20,20.0
27,2024-01-28,1549,20,20,20.0
28,2024-01-29,1549,17,17,17.0
29,2024-01-30,1549,20,20,20.0
30,2024-01-31,1549,20,20,20.0
31,2024-02-01,1549,20,20,20.0
32,2024-02-02,1549,17,17,17.0
33,2024-02-03,1549,19,19,19.0
34,2024-02-04,1549,19,19,19.0
35,2024-02-05,1549,20,20,20.0
36,2024-02-06,1549,20,20,20.0
37,2024-02-07,1549,20,20,20.0
38,2024-02-08,1549,19,19,19.0
39,2024-02-09,1549,19,19,19.0
40,2024-02-10,1549,20,20,20.0
41,2024-02-11,1549,20,20,20.0
42,2024-02-12,1549,20,20,20.0
43,2024-02-13,1549,20,20,20.0
44,2024-02-14,1549,20,20,20.0
45,2024-02-15,1549,20,20,20.0
46,2024-02-16,1549,20,20,20.0
47,2024-02-17,1549,20,20,20.0
48,2024-02-18,1549,20,20,20.0
49,2024-02-19,1549,20,20,20.0
50,2024-02-20,1549,19,19,19.0
51,2024-02-21,1549,20,20,20.0
52,2024-02-22,1549,20,20,20.0
53,2024-02-23,1549,20,20,20.0
54,2024-02-24,1549,20,20,20.0
55,2024-02-25,1549,20,20,20.0
56,2024-02-26,1549,20,20,20.0
57,2024-02-27,1549,20,20,20.0
58,2024-02-28,1549,20,20,20.0
59,2024-02-29,1549,20,20,20.0
60,2024-03-01,1549,20,20,20.0
61,2024-03-02,1549,20,20,20.0
62,2024-03-03,1549,20,20,20.0
63,2024-03-04,1549,20,20,20.0
64,2024-03-05,1549,18,18,18.0
65,2024-03-06,1549,21,21,21.0
66,2024-03-07,1549,20,20,20.0
67,2024-03-08,1549,20,20,20.0
68,2024-03-09,1549,20,20,20.0
69,2024-03-10,1549,20,20,20.0
70,2024-03-11,1549,20,20,20.0
71,2024-03-12,1549,20,20,20.0
72,2024-03-13,1549,19,19,19.0
73,2024-03-14,1549,20,20,20.0
74,2024-03-15,1549,20,20,20.0
75,2024-03-16,1549,20,20,20.0
76,2024-03-17,1549,20,20,20.0
77,2024-03-18,1549,20,20,20.0
78,2024-03-19,1549,20,20,20.0
79,2024-03-20,1549,19,19,19.0
80,2024-03-21,1549,19,19,19.0
81,2024-03-22,1549,18,18,18.0
82,2024-03-23,1549,18,18,18.0
83,2024-03-24,1549,18,18,18.0
84,2024-03-25,1549,18,18,18.0
85,2024-03-26,1549,20,20,20.0
86,2024-03-27,1549,20,20,20.0
87,2024-03-28,1549,20,20,20.0
88,2024-03-29,1549,20,20,20.0
89,2024-03-30,1549,20,20,20.0
90,2024-03-31,1549,20,20,20.0
91,2024-04-01,1549,21,21,21.0
92,2024-04-02,1549,16,16,16.0
93,2024-04-03,1549,18,18,18.0
94,2024-04-04,1549,19,19,19.0
95,2024-04-05,1549,19,19,19.0
96,2024-04-06,1549,19,19,19.0
97,2024-04-07,1549,19,19,19.0
98,2024-04-08,1549,18,18,18.0
99,2024-04-09,1549,20,20,20.0
100,2024-04-10,1549,19,19,19.0
101,2024-04-11,1549,20,20,20.0
102,2024-04-12,1549,20,20,20.0
103,2024-04-13,1549,20,20,20.0
104,2024-04-14,1549,20,20,20.0
105,2024-04-15,1549,19,19,19.0
106,2024-04-16,1549,20,20,20.0
107,2024-04-17,1549,20,20,20.0
108,2024-04-18,1549,19,19,19.0
109,2024-04-19,1549,20,20,20.0
110,2024-04-20,1549,20,20,20.0
111,2024-04-21,1549,20,20,20.0
112,2024-04-22,1549,19,19,19.0
113,2024-04-23,1549,19,19,19.0
114,2024-04-24,1549,19,19,19.0
115,2024-04-25,1549,20,20,20.0
116,2024-04-26,1549,19,19,19.0
117,2024-04-27,1549,19,19,19.0
118,2024-04-28,1549,20,20,20.0
119,2024-04-29,1549,20,20,20.0
120,2024-04-30,1549,20,20,20.0
121,2024-05-01,1549,20,20,20.0
122,2024-05-02,1549,20,20,20.0
123,2024-05-03,1549,20,20,20.0
124,2024-05-04,1549,20,20,20.0
125,2024-05-05,1549,20,20,20.0
126,2024-05-06,1549,19,19,19.0
127,2024-05-07,1549,20,20,20.0
128,2024-05-08,1549,20,20,20.0
129,2024-05-09,1549,20,20,20.0
130,2024-05-10,1549,19,19,19.0
131,2024-05-11,1549,19,19,19.0
132,2024-05-12,1549,20,20,20.0
133,2024-05-13,1549,18,18,18.0
134,2024-05-14,1549,20,20,20.0
135,2024-05-15,1549,19,19,19.0
136,2024-05-16,1549,19,19,19.0
137,2024-05-17,1549,15,15,15.0
138,2024-05-18,1549,15,15,15.0
139,2024-05-19,1549,15,15,15.0
140,2024-05-20,1549,15,15,15.0
141,2024-05-21,1549,14,14,14.0
142,2024-05-22,1549,15,15,15.0
